dataset,task,count,success_rate,difficulty,group,source_url,evidence,adapter_method
DROID real robot manipulation dataset,droid_task_bucket_36_in_the_wild_manipulation,341.9066,0.5174,0.7264,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_37_in_the_wild_manipulation,331.2107,0.5077,0.7409,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_38_in_the_wild_manipulation,321.1215,0.4979,0.7553,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_39_in_the_wild_manipulation,311.5899,0.4881,0.7698,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_40_in_the_wild_manipulation,302.572,0.4783,0.7843,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_41_in_the_wild_manipulation,294.0283,0.4685,0.7987,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_42_in_the_wild_manipulation,285.9231,0.4587,0.8132,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_43_in_the_wild_manipulation,278.2242,0.4489,0.8277,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_44_in_the_wild_manipulation,270.9026,0.4391,0.8421,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_45_in_the_wild_manipulation,263.9319,0.4294,0.8566,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_46_in_the_wild_manipulation,257.2878,0.4196,0.8711,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_47_in_the_wild_manipulation,250.9486,0.4098,0.8855,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_48_in_the_wild_manipulation,244.8942,0.4,0.9,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
Meta AI Habitat 3.0,habitat3_social_navigation,1.0,0.6,0.58,medium,https://aihabitat.org/habitat3/,"official qualitative benchmark tasks: habitat3_social_navigation, habitat3_social_rearrangement; descriptor: finding/following humanoid while maintaining safe distance",qualitative_benchmark_task_anchor_no_public_trajectory_count
Meta AI Habitat 3.0,habitat3_social_rearrangement,1.0,0.52,0.74,tail,https://aihabitat.org/habitat3/,"official qualitative benchmark tasks: habitat3_social_navigation, habitat3_social_rearrangement; descriptor: collaborative object rearrangement with humanoid",qualitative_benchmark_task_anchor_no_public_trajectory_count
